Province,TOPSIS,VIKOR,PROMETHEE,COPRAS,EDAS,SAW,IFS_TOPSIS,IFS_VIKOR,IFS_PROMETHEE,IFS_COPRAS,IFS_EDAS,IFS_SAW
P01,0.8830829354598374,0.8787762731619952,0.9545405243426117,0.9303598082391367,0.9137003230525826,0.938108101879546,0.7131573746585891,0.8769293701968305,0.9773265089782764,0.9584797210066937,0.9287989899505538,0.9652380677546497
P02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P03,0.8539803190602415,0.8549736120784522,0.9193427141650949,0.8968347704554653,0.872155349421325,0.9043916686013489,0.6531727238772497,0.8677548141104825,0.9346030113241595,0.9191522400492508,0.8747478842454122,0.9288256719248491
P04,0.7725608447337159,0.7535615554770847,0.8840993949263345,0.8657403996869034,0.8336225125011637,0.8821231109541694,0.6568660898779578,0.7687188342412725,0.8926514633106961,0.8725189222512928,0.7726095385681391,0.895555314306017
P05,0.7661694190727455,0.7494787951943239,0.8241681159133496,0.8084884229163842,0.7626745875318715,0.8184020348330923,0.48806468915342943,0.7699615426649384,0.8499917767234428,0.8527909174442706,0.7773718306941213,0.866200141245592
P06,0.772181920302061,0.760443956813554,0.8196509835302034,0.8047517929419988,0.7580440724297761,0.8125545802937747,0.5028076417355454,0.7688978770654284,0.8485373095739064,0.850816609891338,0.7725303427480765,0.8645330737681388
P07,0.77133272344929,0.7475408529722343,0.8426917558211312,0.8321298322282481,0.7919715485913914,0.8423039281666908,0.5512472660523194,0.7672928094451414,0.8560552038364929,0.8583598367243851,0.7730614510903809,0.8729974423779489
P08,0.9816968495424935,0.98211218318787,0.9965697392396738,0.9907686559211096,0.9885603127783688,0.9920021441535176,0.8367825552675917,0.981291897095562,0.9978950378598959,0.9947484031869376,0.9904579292306503,0.9957428766224294
P09,0.8486616233970573,0.8490382351357701,0.8933537400886312,0.874166423211979,0.8440642285530429,0.8786320258270959,0.5854423997490136,0.8587026225185543,0.9051689202161233,0.9108803362948472,0.8736658482697786,0.914212494390681
P10,0.9426662940806226,0.9339205773115479,0.9603491374284755,0.9541559071544077,0.943188978914538,0.9538523593452293,0.677902402441426,0.9330966425965092,0.9704622329893673,0.9741033210906441,0.9698519451466365,0.9737578234078732
P11,0.6846271921616075,0.6666229897087943,0.6953076635938683,0.7167294462703895,0.6549123401867863,0.7221348683064776,0.40789120552306657,0.6867814165531742,0.7030369547731363,0.7491457697800625,0.6564503564423241,0.7591180498998544
P12,0.7636853344624723,0.7443807760246398,0.8081657925443825,0.8091178993951929,0.7634546488067416,0.8156041299933867,0.5186476802740577,0.7600537792510889,0.8105430298175829,0.8355358682815115,0.780597747652496,0.8440841260365425
