Criterion,Sensitivity
SC04,1.000000
SC06,0.984615
SC15,0.953846
SC17,0.876923
SC10,0.784615
SC22,0.784615
SC21,0.769231
SC09,0.707692
SC27,0.707692
SC01,0.646154
SC03,0.615385
SC16,0.615385
SC02,0.600000
SC20,0.600000
SC23,0.600000
SC19,0.584615
SC25,0.538462
SC28,0.523077
SC08,0.507692
SC12,0.507692
SC11,0.492308
SC24,0.476923
SC07,0.461538
SC13,0.461538
SC18,0.461538
SC05,0.400000
SC14,0.400000
SC26,0.200000
